rep_sitc,rep,country,sitc,sitc_desc,BI2000,BIS2000,BI2005,BIS2005,BI2010,BIS2010,BI2015,BIS2015,BI2020,BIS2020,BI2021,BIS2021,BI2022,BIS2022,BI2023,BIS2023
620014,620,Portugal,014,"Meat and edible meat offal, prepared, preserved, nes; fish extracts",.65629202,-.20751654,1.2398399,.10707904,1.2419597,.1079233,1.5908777,.22806081,.70931321,-.17006058,.7177245,-.16433106,.42230365,-.4061695,,
620022,620,Portugal,022,Milk and cream,2.3531349,.40354323,2.1714396,.36937156,1.6377071,.24176571,1.648803,.24494196,1.3550441,.15075901,1.5170877,.20543094,1.2917815,.12731647,,
620023,620,Portugal,023,Butter,2.0980482,.35443226,2.4310734,.41709206,3.2417636,.52849799,2.9116046,.4887009,2.0681679,.34814519,2.4056587,.41274211,1.1867807,.085413545,,
620024,620,Portugal,024,Cheese and curd,.26885253,-.57622731,.25277019,-.59646201,.33863163,-.49406302,.44197369,-.38698786,.28189379,-.56019163,.3289116,-.50499099,.37779057,-.45159942,,
620025,620,Portugal,025,"Eggs, birds', and egg yolks, fresh, dried or preserved",1.1001632,.047693066,1.5186917,.20593694,2.882623,.48488432,3.6399446,.56896037,2.776036,.47034404,2.9184396,.48959276,2.7887635,.4721233,,
620034,620,Portugal,034,"Fish, fresh, chilled or frozen",1.370913,.15644312,1.6501273,.24531928,3.0143831,.50179142,2.5704176,.43984145,2.3354983,.40038943,2.5024135,.42896521,2.1763439,.37034526,,
620035,620,Portugal,035,"Fish, dried, salted or in brine; smoked fish",2.0778103,.35018736,4.5964661,.64263165,6.8109045,.74394768,3.8898735,.59099144,3.6792092,.57257736,3.9520254,.59612483,3.4216192,.54767704,,
620036,620,Portugal,036,"Crustaceans and molluscs, fresh, chilled, frozen, salted, etc",1.2090192,.094620809,1.4468331,.18261692,4.486062,.63543975,3.3936622,.54479885,2.4776418,.42489764,3.0771351,.5094595,3.1344845,.51626378,,
620037,620,Portugal,037,"Fish, crustaceans and molluscs, prepared or preserved, nes",2.1797214,.37101406,2.0941186,.35361236,3.1364193,.51649004,2.8404803,.4792318,3.0686753,.50843954,3.1181207,.51434159,3.1342819,.51624006,,
620041,620,Portugal,041,"Wheat and meslin, unmilled",.16646364,-.71458411,.46169868,-.36827105,.14949416,-.73989576,.042853814,-.91781431,.028125754,-.94528735,.012361297,-.97557926,.030580582,-.94065368,,
620042,620,Portugal,042,Rice,.11625115,-.79171151,.19512774,-.67346126,.44235745,-.38661882,.73229557,-.15453738,.91334808,-.045288112,1.1030439,.04899751,1.2007983,.091238834,,
620043,620,Portugal,043,"Barley, unmilled",.014837091,-.97075963,.99883109,-.00058479514,.43736139,-.39143851,.23244178,-.62279469,.088423193,-.83752054,.030782666,-.94027323,.17655765,-.69987422,,
620044,620,Portugal,044,"Maize, unmilled",.20428155,-.66074121,.2081456,-.6554296,.18473369,-.68814307,.22955066,-.62661052,.79680985,-.11308383,.71374142,-.1670372,.85223031,-.079779327,,
620045,620,Portugal,045,"Cereals, unmilled",.14241815,-.75067246,.53131568,-.30606642,.19076908,-.67958677,.1075074,-.805857,.13241498,-.766137,.10994367,-.80189323,.050144322,-.90450013,,
620046,620,Portugal,046,Meal and flour of wheat and flour of meslin,.25810334,-.58969456,.39451703,-.43418828,1.1298745,.060977522,1.2550311,.11309428,.93680781,-.032626979,.69590282,-.17931286,.85441834,-.0785053,,
620047,620,Portugal,047,Other cereal meals and flour,.85863733,-.076057151,1.3293368,.14138649,4.0944443,.6074155,2.2181423,.37852344,2.2723517,.38881877,2.2339633,.38156378,2.6735137,.45556211,,
620048,620,Portugal,048,"Cereal, flour or starch preparations of fruits or vegetables",.76789618,-.13128816,1.1043123,.049570732,1.4109284,.17044404,1.4601274,.18703395,1.6216476,.23712096,1.6758344,.25256959,1.5466087,.21464181,,
620054,620,Portugal,054,"Vegetables, fresh or simply preserved; roots and tubers, nes",.43574777,-.39300233,.61870944,-.23555219,1.1872401,.085605659,1.3050897,.13235481,1.299902,.13039772,1.3476589,.14808747,2.3433216,.4017925,,
620056,620,Portugal,056,"Vegetables, roots and tubers, prepared or preserved, nes",2.4385307,.41835621,1.8759682,.30458203,4.0596418,.60471511,3.7975712,.58312237,6.2233138,.72311878,6.2436948,.72389781,.71481138,-.16630903,,
620057,620,Portugal,057,"Fruit and nuts, fresh, dried",.36670947,-.4633688,.51468259,-.32040864,1.3950169,.16493283,1.4487655,.18326195,1.8581125,.30023748,1.7438476,.27109656,2.0435436,.34287125,,
620058,620,Portugal,058,"Fruit, preserved, and fruits preparations",.32358089,-.51105231,.43043855,-.39817262,1.0573617,.027881203,1.017247,.0085497517,1.0357393,.017555933,1.1228739,.057880923,.93754196,-.032235708,,
620061,620,Portugal,061,Sugar and honey,1.1300851,.061070383,1.3001102,.13047644,1.7389877,.26980323,1.2296007,.10297838,1.0697522,.033700757,1.4138966,.17146409,1.2187371,.098586321,,
620062,620,Portugal,062,"Sugar confectionery and preparations, non-chocolate",.18783583,-.68373436,.24603455,-.60509193,.58342576,-.26308417,.26897046,-.5760808,.15915333,-.72539729,.12468334,-.77827829,.14283063,-.75004059,,
620071,620,Portugal,071,Coffee and coffee substitutes,.85454118,-.078433856,.56687617,-.27642506,.66167092,-.20360775,.66436005,-.20166306,.93546462,-.033343609,1.0649798,.03146752,.93475395,-.033723176,,
620072,620,Portugal,072,Cocoa,.0035439176,-.99293721,.0040965169,-.99184036,.0042200512,-.99159539,.079347618,-.85297114,.092217907,-.83113641,.089200012,-.83621001,.092426598,-.83078665,,
620073,620,Portugal,073,"Chocolate and other preparations containing cocoa, nes",.060915425,-.88516438,.14868869,-.74111575,.15706189,-.72851598,.19336961,-.67592669,.45748162,-.37222999,.47375199,-.35708043,.49362445,-.33902469,,
620074,620,Portugal,074,Tea and mate,.042543538,-.91838509,.075111538,-.86027211,.13804473,-.75740016,.16015625,-.72390574,.10821442,-.8047049,.14368583,-.74873197,.13503964,-.76205301,,
620075,620,Portugal,075,Spices,.056933098,-.89226735,.2174992,-.64271158,.56743908,-.27596664,1.0358382,.01760368,.38825804,-.44065437,.35405949,-.47703999,.34937662,-.4821659,,
620081,620,Portugal,081,Feeding stuff for animals (not including unmilled cereals),.36734766,-.46268579,.45724532,-.3724525,.56098568,-.28124174,.52573597,-.31084278,.7855584,-.12009778,.83241707,-.09145458,.79311663,-.11537641,,
620091,620,Portugal,091,Margarine and shortening,.60557324,-.24566102,.52931011,-.30777922,1.4879714,.19613224,1.1116967,.052894302,1.1715063,.078980334,3.2757547,.53224629,4.6645279,.64692557,,
