rep,country,sitc,sitc_desc,BIS2000,BIS2005,BIS2010,BIS2015,BIS2020,BIS2021,BIS2022,BIS2023
208,Denmark,044,"Maize, unmilled",-.98439986,-.97858989,-.92340678,-.69752288,-.7051478,-.839127,-.87108874,
208,Denmark,045,"Cereals, unmilled",.25431934,-.68074709,.31641081,-.41817027,-.047558755,-.1089097,.0075111571,
208,Denmark,046,Meal and flour of wheat and flour of meslin,-.14282888,-.87081128,-.39068285,-.58209056,-.76389045,-.67998445,-.73706931,
208,Denmark,047,Other cereal meals and flour,-.63620275,-.60985833,-.66651326,-.57819003,-.45868534,-.29828417,-.15274906,
208,Denmark,048,"Cereal, flour or starch preparations of fruits or vegetables",.49968621,.42589858,.30869251,.51602978,-.019130237,.0037969472,-.030156037,
208,Denmark,054,"Vegetables, fresh or simply preserved; roots and tubers, nes",-.6664775,-.65274471,-.40044248,-.43338954,-.37212056,-.37551466,-.37899414,
208,Denmark,056,"Vegetables, roots and tubers, prepared or preserved, nes",-.36934626,-.44483465,-.2800163,-.35986707,-.31923038,-.23064086,.14763744,
208,Denmark,057,"Fruit and nuts, fresh, dried",-.93274385,-.89819747,-.76331818,-.73832268,-.75198859,-.76064545,-.77022892,
208,Denmark,058,"Fruit, preserved, and fruits preparations",-.09934283,-.26562145,.0073621222,-.095611453,-.090930983,-.067299329,-.089776926,
208,Denmark,061,Sugar and honey,.24379082,-.077674627,.053340372,.1063969,-.17462732,-.10601885,-.15229264,
208,Denmark,062,"Sugar confectionery and preparations, non-chocolate",.35753414,.45235941,.4544211,.34397316,.21192208,.22308658,.21663286,
208,Denmark,071,Coffee and coffee substitutes,-.22206242,-.41958281,-.45348364,-.63361555,-.54228234,-.38044629,-.38193294,
208,Denmark,072,Cocoa,-.43529123,-.93197203,-.9761126,-.97582597,-.97601241,-.97954142,-.98058635,
208,Denmark,073,"Chocolate and other preparations containing cocoa, nes",.07710667,.071913935,-.1239827,-.081290931,.0083353845,.037379954,.033701647,
208,Denmark,074,Tea and mate,-.63150841,-.73166001,-.51095968,-.5843094,-.68444806,-.52548605,-.50332826,
208,Denmark,075,Spices,-.48445183,-.41078407,-.50635618,-.56478357,-.58365935,-.55758339,-.57889795,
208,Denmark,081,Feeding stuff for animals (not including unmilled cereals),.57575881,.53883821,.52214837,.50215298,.3882516,.37751743,.29911017,
208,Denmark,091,Margarine and shortening,.62671959,.68361628,.70490324,.41515025,.62055784,.66428912,.69595838,
208,Denmark,098,"Edible products and preparations, nes",.5314796,.57134181,.60599709,.54742473,.37449819,.36210167,.36257237,
528,Netherlands,001,Live animals chiefly for food,.25065735,.46772242,.54751241,.59683174,.43331957,.42836642,.36755899,
528,Netherlands,011,"Meat and edible meat offal, fresh, chilled or frozen",.46386322,.3305043,.30035958,.42901927,.32423395,.33844092,.3303875,
528,Netherlands,012,"Meat and edible meat offal, in brine, dried, salted or smoked",.67380381,.54088742,.48219332,.49251631,.41092184,.40626401,.42655635,
528,Netherlands,014,"Meat and edible meat offal, prepared, preserved, nes; fish extracts",.26705286,.093767278,.040706359,.35279718,.11903988,.16343227,.27189717,
528,Netherlands,022,Milk and cream,.49182722,.42369044,.28899512,.41091028,.41273281,.38096383,.41086709,
528,Netherlands,023,Butter,.58941847,.5893746,.50870848,.6910544,.70171171,.70339084,.68285072,
528,Netherlands,024,Cheese and curd,.63397861,.6187982,.48943534,.61012459,.54474187,.52778864,.51567256,
528,Netherlands,025,"Eggs, birds', and egg yolks, fresh, dried or preserved",.79258645,.65466064,.75217044,.72599477,.70118278,.68905962,.67790776,
528,Netherlands,034,"Fish, fresh, chilled or frozen",-.022223681,.053513139,.10527136,.11434991,.17959908,.17722398,.14720136,
528,Netherlands,035,"Fish, dried, salted or in brine; smoked fish",-.15231143,-.3988215,-.30355722,-.042452794,-.043976694,-.017994059,.030995613,
528,Netherlands,036,"Crustaceans and molluscs, fresh, chilled, frozen, salted, etc",-.29496405,-.17037736,.038984854,.027039792,.045125045,-.03630415,-.076955631,
528,Netherlands,037,"Fish, crustaceans and molluscs, prepared or preserved, nes",-.053653359,-.17110473,-.036913734,.06594748,.097900197,.12280352,.092228986,
528,Netherlands,041,"Wheat and meslin, unmilled",-.88240522,-.83366436,-.758255,-.70889622,-.87224501,-.90236419,-.90093863,
528,Netherlands,042,Rice,-.51683253,-.54323566,-.49727219,-.35283732,-.32202971,-.3086538,-.30204383,
